Date,corn,soybean_meal,hog,crush,corn + soybean_meal
2001-12-10,36412.50000000001,15030.000000000002,147600.0,96157.5,51442.50000000001
2001-12-11,36412.50000000001,14950.0,144480.0,93117.5,51362.50000000001
2001-12-12,35962.5,14869.999999999998,144400.0,93567.5,50832.5
2001-12-13,35962.5,15000.0,146240.0,95277.5,50962.5
2001-12-17,35625.0,15040.0,162400.0,111735.0,50665.0
2001-12-18,35625.0,14919.999999999998,162320.0,111775.0,50545.0
2001-12-19,35625.0,14869.999999999998,161840.0,111345.0,50495.0
2001-12-20,35512.5,14830.000000000002,161920.0,111577.5,50342.5
2001-12-26,35025.0,14600.0,161840.0,112215.0,49625.0
2001-12-27,35100.0,14750.0,161680.0,111830.0,49850.0
2001-12-28,35175.00000000001,14650.0,161600.0,111775.0,49825.00000000001
2001-12-31,35212.5,14490.0,161600.0,111897.5,49702.5
2002-01-02,35062.5,14380.000000000002,161680.0,112237.5,49442.5
2002-01-03,35137.49999999999,14460.0,161600.0,112002.5,49597.49999999999
2002-01-04,35175.00000000001,14350.0,161760.0,112235.0,49525.00000000001
2002-01-10,35550.0,14569.999999999998,162080.0,111960.0,50120.0
2002-01-14,35774.99999999999,15119.999999999998,161680.0,110785.0,50894.99999999999
2002-01-16,36262.5,15500.0,161920.0,110157.5,51762.5
2002-01-17,35962.5,15410.0,161840.0,110467.5,51372.5
2002-01-18,35812.5,15269.999999999998,162160.0,111077.5,51082.5
2002-01-22,35512.5,14960.0,161600.0,111127.5,50472.5
2002-01-23,35475.00000000001,14640.0,161600.0,111485.0,50115.00000000001
2002-01-24,35512.5,14810.0,162080.0,111757.5,50322.5
2002-01-25,35437.5,14730.000000000002,162400.0,112232.5,50167.5
2002-01-28,35287.5,14819.999999999998,162080.0,111972.5,50107.5
2002-01-29,35062.5,14669.999999999998,162000.0,112267.5,49732.5
2002-01-30,35062.5,14690.0,162560.0,112807.5,49752.5
2002-01-31,35062.5,14690.0,162240.0,112487.5,49752.5
2002-02-01,34875.0,14550.0,163120.0,113695.0,49425.0
2002-02-04,35062.5,14740.0,162240.0,112437.5,49802.5
2002-02-05,35062.5,14669.999999999998,163040.0,113307.5,49732.5
2002-02-06,34687.5,14630.000000000002,162080.0,112762.5,49317.5
2002-02-07,34687.5,14750.0,162240.0,112802.5,49437.5
2002-02-08,34687.5,14600.0,162560.0,113272.5,49287.5
2002-02-11,34650.0,14660.0,161600.0,112290.0,49310.0
2002-02-12,34762.5,14769.999999999998,160160.0,110627.5,49532.5
2002-02-13,35212.5,14850.0,159840.0,109777.5,50062.5
